Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
A.J. Green,2.8,24.0,0.279,0.3,1.5,0.0,0.0,0.2,Bench Player
A.J. Lawson,1.1,23.0,0.663,0.0,0.3,0.0,0.1,0.3,Bench Player
Aaron Gordon,13.8,27.0,0.377,3.2,6.8,0.6,0.8,0.3,Role Player
Aaron Holiday,1.8,25.5,0.484,1.2,0.2,0.2,0.1,0.4,Bench Player
Aaron Nesmith,5.6,23.0,0.331,1.2,3.0,0.4,0.4,0.2,Role Player
Aaron Wiggins,6.2,25.0,0.388,1.0,3.2,0.6,0.3,0.3,Role Player
Al Horford,9.3,36.0,0.266,2.8,7.8,0.9,1.3,0.4,Defensive Specialist
Alec Burks,14.8,32.0,0.576,1.0,3.3,0.2,0.2,0.4,Role Player
Alex Caruso,6.3,27.0,0.216,4.3,2.8,1.3,1.0,0.4,Defensive Specialist
Alex Len,2.7,29.0,0.35,0.1,2.9,0.0,0.4,0.0,Bench Player
Amir Coffey,1.4,25.5,0.224,0.2,0.8,0.2,0.1,0.1,Bench Player
Andre Drummond,3.8,28.0,0.325,0.8,3.0,1.3,0.8,0.0,Bench Player
Andre Iguodala,1.6,38.0,0.239,1.7,1.0,0.0,0.3,0.3,Bench Player
Andre Jackson Jr.,2.4,22.0,0.233,2.0,2.2,1.0,0.2,0.3,Bench Player
Andrew Nembhard,14.9,24.0,0.391,5.5,3.3,0.4,0.2,0.5,Role Player
Andrew Wiggins,16.6,26.5,0.487,1.8,6.6,0.9,1.1,0.3,Defensive Specialist
Anthony Black,3.0,20.0,0.727,1.0,1.0,0.5,0.0,0.0,Bench Player
Anthony Davis,25.2,29.5,0.554,3.3,14.8,0.9,2.4,0.2,All Star
Anthony Edwards,28.1,21.0,0.657,4.9,5.4,1.5,1.3,0.4,All Star
Anthony Lamb,0.8,25.0,0.212,0.0,1.0,0.2,0.2,0.2,Bench Player
Armoni Brooks,1.0,23.0,1.0,0.0,0.5,0.0,0.0,0.0,Bench Player
Austin Reaves,16.8,24.5,0.429,4.1,4.1,1.0,0.4,0.4,Role Player
Austin Rivers,3.4,29.5,0.207,0.8,1.0,0.8,0.1,0.3,Bench Player
Ayo Dosunmu,4.0,22.0,0.342,2.2,2.6,0.2,0.0,0.2,Bench Player
Bam Adebayo,18.4,25.0,0.511,3.4,9.1,0.8,0.5,0.1,Role Player
Ben Sheppard,5.2,22.0,0.255,1.0,3.0,0.5,0.1,0.4,Role Player
Bismack Biyombo,3.1,29.5,0.357,0.7,2.8,0.0,0.8,0.0,Bench Player
Blake Griffin,2.0,32.5,0.285,1.0,2.0,0.2,0.2,0.2,Bench Player
Boban Marjanovic,1.3,33.0,1.154,0.0,1.0,0.3,0.0,0.0,Bench Player
Bobby Portis,12.2,27.0,0.498,1.0,9.8,0.5,0.3,0.3,Role Player
Bogdan Bogdanovic,13.8,29.5,0.46,2.8,3.9,0.6,0.6,0.4,Role Player
Bojan Bogdanovic,12.0,33.0,0.507,1.4,3.6,0.2,0.2,0.4,Role Player
Bol Bol,0.7,24.0,0.465,0.0,1.3,0.3,0.0,0.0,Bench Player
Bones Hyland,7.2,22.0,0.617,1.8,1.2,0.3,0.1,0.3,Role Player
Bradley Beal,16.5,30.0,0.485,4.5,2.8,0.8,0.3,0.4,Role Player
Brandon Boston Jr.,0.8,21.5,0.58,0.2,0.4,0.0,0.0,0.0,Bench Player
Brandon Clarke,12.3,25.0,0.428,2.0,6.9,0.8,0.8,0.0,Role Player
Brandon Ingram,20.6,25.0,0.597,4.8,5.4,0.8,0.8,0.3,Role Player
Brook Lopez,15.8,34.0,0.431,1.2,5.5,0.6,1.5,0.4,Defensive Specialist
Bruce Brown,13.0,25.5,0.389,2.3,4.4,1.2,0.6,0.4,Role Player
Bryn Forbes,4.0,28.0,0.253,1.4,0.6,0.2,0.0,0.4,Bench Player
Buddy Hield,5.5,31.0,0.392,0.5,1.3,0.0,0.3,0.5,Role Player
CJ McCollum,20.0,31.0,0.628,4.8,5.8,1.2,0.8,0.3,Defensive Specialist
Caleb Houstan,1.0,21.0,0.362,0.0,0.7,0.0,0.0,0.5,Bench Player
Caleb Martin,9.6,27.0,0.337,1.1,3.7,0.7,0.2,0.4,Role Player
Cam Thomas,1.5,20.5,0.5,0.2,0.2,0.0,0.0,0.0,Bench Player
Cameron Johnson,14.6,25.5,0.408,2.2,4.6,0.6,0.2,0.4,Role Player
Cameron Payne,6.0,28.0,0.448,2.1,1.6,0.4,0.4,0.3,Role Player
Caris LeVert,12.6,28.5,0.449,2.4,4.1,0.6,0.4,0.3,Role Player
Cason Wallace,4.2,20.0,0.232,1.0,1.3,0.9,0.2,0.3,Bench Player
Cedi Osman,6.0,27.0,0.365,1.0,3.0,0.4,0.2,0.3,Role Player
Charles Bassey,0.7,21.0,0.458,0.3,1.7,0.0,0.3,0.0,Bench Player
Chet Holmgren,15.6,21.0,0.442,2.1,7.2,0.7,2.5,0.3,Defensive Specialist
Chimezie Metu,0.7,25.0,0.52,0.0,0.3,0.0,0.0,0.0,Bench Player
Chris Boucher,11.2,29.0,0.371,0.2,5.8,0.2,1.2,0.4,Role Player
Chris Livingston,1.0,20.0,0.72,0.0,0.0,0.0,0.0,0.0,Bench Player
Chris Paul,15.0,36.5,0.423,7.8,4.6,1.6,0.4,0.4,Defensive Specialist
Christian Braun,4.2,21.5,0.282,0.7,2.4,0.4,0.3,0.2,Bench Player
